Model,Region,MSE,R²,MAE,RMSE
Extra Trees Regressor,East Asia,21759678940.286148,-0.43016990372776376,94381.04499999998,147511.62306844213
Random Forest Regressor,East Asia,21996322221.5861,-0.4457234465793536,95278.785,148311.57143522587
Bagging Regressor,East Asia,22437576330.5575,-0.4747251771783625,96147.47499999999,149791.77657854752
AdaBoost Regressor,East Asia,23010711475.918404,-0.5123948798386455,97485.72916666667,151692.81946064028
Gradient Boosting Regressor,East Asia,21522755500.820457,-0.4145979472875352,94333.02318529211,146706.35807905687
Extra Trees Regressor,Central and South Asia,8891338594.738132,-0.09276180048762805,55641.22666666666,94293.89479037406
Random Forest Regressor,Central and South Asia,9481385944.4812,-0.1652797006224589,57676.579999999994,97372.40853794878
Bagging Regressor,Central and South Asia,9318171574.673334,-0.14522035559625035,57150.333333333336,96530.67685805033
AdaBoost Regressor,Central and South Asia,9298900842.666666,-0.1428519473324168,56861.333333333336,96430.80857623597
Gradient Boosting Regressor,Central and South Asia,9194042982.23258,-0.12996472420596383,56330.608220283415,95885.57233615796
Extra Trees Regressor,North America,1015501227.6248995,,31866.929999999993,31866.929999999993
Random Forest Regressor,North America,8002041374.056901,,89454.13,89454.13
Bagging Regressor,North America,19154781440.639996,,138400.8,138400.8
AdaBoost Regressor,North America,64301802084.0,,253578.0,253578.0
Gradient Boosting Regressor,North America,4840111505.43857,,69570.90990808277,69570.90990808277
Extra Trees Regressor,South America,1455784172.9334333,-0.11248014936619799,22433.896666666667,38154.73984885015
Random Forest Regressor,South America,1474196909.4889002,-0.12655078174035772,23360.809999999998,38395.2719678986
Bagging Regressor,South America,1562858405.8999999,-0.19430406317059967,23697.066666666666,39533.00400804371
AdaBoost Regressor,South America,1516555579.6666667,-0.15892040122272988,24195.0,38942.9785669595
Gradient Boosting Regressor,South America,1514743010.6701944,-0.1575352734919695,24806.801851158525,38919.69951926909
Extra Trees Regressor,Sub-Saharan Africa,12640871.591511114,0.592137757175335,1500.071111111111,3555.400341946194
Random Forest Regressor,Sub-Saharan Africa,14587169.922833333,0.5293397454344304,1651.2922222222223,3819.315373575915
Bagging Regressor,Sub-Saharan Africa,14634970.778888889,0.5277974337181361,1757.0555555555557,3825.568033493704
AdaBoost Regressor,Sub-Saharan Africa,19246310.626133785,0.3790109043314218,2145.1825396825393,4387.061730376469
Gradient Boosting Regressor,Sub-Saharan Africa,18840700.627503555,0.3920980560009737,2255.9986088460732,4340.587590119978
Extra Trees Regressor,East Europe,715166.1956000009,0.9834921230807185,845.2000000000005,845.6749940727826
Random Forest Regressor,East Europe,20230270.931700002,0.5330332660591701,4165.14,4497.807347108144
Bagging Regressor,East Europe,74720995.57,-0.7247529395889325,7343.9,8644.130700654636
AdaBoost Regressor,East Europe,52091037.0,-0.20239523719699615,5766.0,7217.4120708187365
Gradient Boosting Regressor,East Europe,5022122.956929909,0.8840764731938391,1904.3913948423926,2241.009361187478
Extra Trees Regressor,Central America and the Caribbean,268011179.62914,0.02041523921325894,7962.717999999999,16371.046992454087
Random Forest Regressor,Central America and the Caribbean,286557166.78093994,-0.047370613648509696,8129.177999999998,16927.999491402992
Bagging Regressor,Central America and the Caribbean,278348214.128,-0.017366772271567577,8319.52,16683.770980446836
AdaBoost Regressor,Central America and the Caribbean,287115605.6125,-0.04941171570247893,8178.05,16944.48599434341
Gradient Boosting Regressor,Central America and the Caribbean,267450515.12776345,0.022464476122788346,7457.167780610815,16353.914367140469
Extra Trees Regressor,West Asia and North Africa,124003456.09142001,0.33153302088556036,7232.954000000001,11135.683907664585
Random Forest Regressor,West Asia and North Africa,133798396.66536002,0.27873131242962823,7282.156000000001,11567.125687281175
Bagging Regressor,West Asia and North Africa,122171797.36400004,0.34140696645837043,7357.160000000001,11053.135182562459
AdaBoost Regressor,West Asia and North Africa,121621161.432,0.3443752864524887,7345.719999999999,11028.198467202157
