Country,Risk_Factor,Risk_Level
China,1.9133583435827621,High
India,1.5236286697074328,High
United States of America,,Medium
Indonesia,0.5805081921448983,High
Pakistan,0.3249746641955916,Medium
Brazil,0.40740516478111266,Medium
Nigeria,0.406444519541974,Medium
Bangladesh,0.24783623816154288,Medium
Russian Federation,,Medium
Mexico,0.2855919810483007,Medium
Japan,0.24804740508236417,Medium
Ethiopia,0.15706436089458506,Medium
Philippines,0.22757752989658864,Medium
"Egypt, Arab Rep.",0.18529971996933986,Medium
Vietnam,0.1334395539936761,Medium
"Congo, Dem. Rep.",0.214733037145718,Medium
"Iran, Islamic Rep.",0.1964334531181326,Medium
Türkiye,0.2325525648103427,Medium
Germany,,Medium
Thailand,0.1856383480106826,Medium
United Kingdom,0.20286743319142772,Medium
France,0.19539957003149958,Medium
Tanzania,0.15652766128764922,Medium
Italy,0.20985997297029865,Medium
South Africa,0.15038721117510118,Medium
Myanmar,0.1316789296851634,Medium
Kenya,0.11847397546682253,Medium
"Korea, Rep.",0.1375211011370034,Medium
Colombia,0.14690328768404926,Medium
Spain,0.1306249077522336,Medium
Argentina,0.1653211406461666,Medium
Sudan,0.14124908323695562,Medium
Uganda,,Medium
Ukraine,0.15619862516647987,Medium
Algeria,0.10766965928123468,Medium
Iraq,0.16887952103054932,Medium
Poland,0.12365828210802952,Medium
Canada,0.21690314279073247,Medium
Morocco,0.09935349171938185,Medium
Saudi Arabia,0.13663075070130262,Medium
Uzbekistan,0.12284471264707042,Medium
Angola,0.11828625911136241,Medium
Peru,0.12747449045635628,Medium
Malaysia,0.10937575006217845,Medium
Ghana,0.12025095453804358,Medium
Mozambique,,Medium
Nepal,0.08475435596185817,Medium
Madagascar,0.09798566624591658,Medium
Côte d’Ivoire,0.11556213323186332,Medium
Cameroon,0.16154250365569867,Medium
Australia,0.11714127335609485,Medium
Niger,0.08168879712382729,Medium
Sri Lanka,0.10017764401409848,Medium
Burkina Faso,0.11911291465971824,Medium
Mali,0.08792803134864591,Medium
